time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-08T08:51:39.245Z,-53.2226,9.4065,10,5,mb,,141,19.284,0.45,us,us7000gj1q,2022-02-08T09:12:31.040Z,"southwest of Africa",earthquake,14.5,1.9,0.129,19,reviewed,us,us
2022-02-08T08:22:22.209Z,-23.6855,-175.6636,10,5.2,mww,,96,5.91,1.12,us,us7000gj1n,2022-02-08T16:26:14.040Z,"270 km SSW of ‘Ohonua, Tonga",earthquake,9.6,1.8,0.098,10,reviewed,us,us
2022-02-08T06:32:39.211Z,-58.3487,-14.7617,10,5.1,mb,,88,12.708,0.83,us,us7000gj10,2022-02-08T06:50:34.040Z,"east of the South Sandwich Islands",earthquake,6.8,1.9,0.076,56,reviewed,us,us
2022-02-08T05:22:13.429Z,-25.8195,-71.1014,38.45,4.5,mb,,105,0.558,1.22,us,us7000gj0p,2022-02-08T05:44:03.040Z,"76 km SW of Taltal, Chile",earthquake,3.6,6.9,0.121,20,reviewed,us,us
2022-02-08T02:28:43.444Z,-30.327,-177.8385,18.65,5,mb,,131,1.063,0.95,us,us7000gj09,2022-02-08T03:20:30.040Z,"Kermadec Islands, New Zealand",earthquake,11.7,4.8,0.118,23,reviewed,us,us
2022-02-08T00:58:42.841Z,54.8953,156.5292,10,4.9,mww,,122,14.009,0.66,us,us7000gizp,2022-02-08T01:34:48.040Z,"136 km W of Mil’kovo, Russia",earthquake,10.8,1.8,0.098,10,reviewed,us,us
2022-02-07T23:29:35.921Z,12.0487,141.68,66.21,5.2,mww,,38,3.466,0.76,us,us7000giyh,2022-02-09T23:39:38.530Z,"282 km NNE of Fais, Micronesia",earthquake,9.4,6.4,0.083,14,reviewed,us,us
2022-02-07T22:42:34.089Z,29.7957,141.2201,56.37,4.5,mb,,73,3.52,0.71,us,us7000giyc,2022-02-08T00:45:53.040Z,"Izu Islands, Japan region",earthquake,8.5,5.7,0.08,46,reviewed,us,us
2022-02-07T21:09:39.845Z,-59.2778,-25.5841,35,5.2,mb,,88,7.799,0.78,us,us7000gixf,2022-02-07T21:26:44.040Z,"South Sandwich Islands region",earthquake,9.3,1.9,0.058,100,reviewed,us,us
2022-02-07T19:06:28.552Z,-15.3313,-177.3521,400.34,4.6,mb,,141,5.018,0.86,us,us7000giws,2022-02-07T19:34:02.040Z,"139 km SE of Alo, Wallis and Futuna",earthquake,7.5,8.5,0.085,41,reviewed,us,us
2022-02-07T15:04:07.474Z,-20.2707,-67.4793,213.34,4.5,mb,,99,1.72,0.41,us,us7000giud,2022-02-07T15:28:16.040Z,"57 km W of Colchani, Bolivia",earthquake,10.9,8.8,0.122,23,reviewed,us,us
2022-02-07T13:05:10.402Z,-20.7389,-175.3981,10,4.7,mb,,124,6.866,0.69,us,us7000gj0k,2022-02-08T04:59:15.040Z,"48 km NNW of Nuku‘alofa, Tonga",earthquake,14.8,1.9,0.134,18,reviewed,us,us
2022-02-07T10:58:24.647Z,24.3754,122.0128,30.17,5.1,mww,,46,0.431,1.26,us,us7000gita,2022-02-08T02:49:54.998Z,"49 km SSE of Yilan, Taiwan",earthquake,2.2,3.9,0.068,21,reviewed,us,us
2022-02-07T10:37:39.594Z,-59.6139,-26.4073,10,5.2,mb,,62,15.35,0.88,us,us7000git5,2022-02-07T11:07:58.040Z,"South Sandwich Islands region",earthquake,11.5,1.7,0.056,107,reviewed,us,us
2022-02-07T09:06:48.634Z,-5.6608,149.8331,132.16,4.7,mb,,109,4.355,0.51,us,us7000gisv,2022-02-07T09:25:33.040Z,"35 km WSW of Kimbe, Papua New Guinea",earthquake,10.3,8.2,0.09,39,reviewed,us,us
2022-02-07T08:45:36.916Z,-13.3822,174.3308,10,5,mb,,145,6.79,0.46,us,us7000gisx,2022-02-07T09:50:25.040Z,"Fiji region",earthquake,10.7,1.8,0.09,41,reviewed,us,us
2022-02-07T08:14:41.727Z,-0.4091,97.3518,10,4.6,mb,,116,1.716,0.49,us,us7000gisq,2022-02-07T08:48:59.040Z,"285 km SW of Sibolga, Indonesia",earthquake,6.2,1.9,0.085,41,reviewed,us,us
2022-02-07T06:01:20.675Z,-31.5678,179.9498,360.4,4.8,mb,,46,2.943,0.54,us,us7000gis6,2022-02-07T06:19:22.040Z,"Kermadec Islands region",earthquake,8,7.6,0.052,114,reviewed,us,us
2022-02-07T03:41:37.801Z,-28.9976,-177.0597,10,5,mb,,82,0.797,1.32,us,us7000girh,2022-02-07T04:00:45.040Z,"Kermadec Islands region",earthquake,9.3,1.9,0.06,87,reviewed,us,us
2022-02-07T00:31:17.720Z,3.472,-74.6974,10,4.6,mb,,92,1.414,1.03,us,us7000gipv,2022-02-08T03:15:06.158Z,"15 km NE of Colombia, Colombia",earthquake,6.7,1.9,0.114,23,reviewed,us,us
2022-02-07T00:14:13.892Z,-0.423,122.0141,17.24,4.5,mb,,56,0.975,0.57,us,us7000gine,2022-02-07T00:43:37.040Z,"104 km NW of Luwuk, Indonesia",earthquake,5.9,5.5,0.136,16,reviewed,us,us
2022-02-06T23:46:31.360Z,-22.1892,-68.6453,103.39,5.3,mww,,32,0.873,1,us,us7000gin7,2022-02-07T02:17:19.904Z,"41 km NE of Calama, Chile",earthquake,4.8,3.4,0.05,39,reviewed,us,us
